,^DJI,^HSI,^FCHI
2023-01-02,150.0,200.0,15.0
2023-01-03,151.0703,201.1994,15.9227
2023-01-04,150.4775,200.3445,15.2925
2023-01-05,149.7794,199.3146,14.5899
2023-01-06,149.3377,199.2034,14.1866
2023-01-09,148.4382,198.2481,12.9431
2023-01-10,150.3021,199.9381,15.0468
2023-01-11,151.2041,200.562,15.9462
2023-01-12,151.1438,201.0699,16.1992
2023-01-13,151.7361,202.3071,17.3708
2023-01-16,152.106,201.7084,17.0776
2023-01-17,152.2972,202.4145,17.6829
2023-01-18,153.2889,202.4944,17.8135
2023-01-19,153.5813,201.3839,16.84
2023-01-20,153.1256,202.9127,17.9541
2023-01-23,153.4789,203.2397,18.101
2023-01-24,151.9939,203.7673,18.3541
2023-01-25,152.3055,202.4603,17.2206
2023-01-26,152.5295,202.8236,17.0372
2023-01-27,151.9002,203.2251,17.5932
2023-01-30,151.4353,202.8746,16.9843
2023-01-31,151.6433,203.5067,17.3059
2023-02-01,150.9535,203.3566,17.4599
